0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
DATA PHBS RUMAH TANGGA KABUPATEN BANDUNG TAHUN 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
N0,KECAMATAN,PUSKESMAS,DESA / KELURAHAN,,"Jumlah seluruh
Individu/Anggota Rumah Tangga (ART)
yang disurvei","Jumlah
Individu/Anggota Rumah Tangga (ART) umur ≥ 5
tahun yang
Disurvei","Jumlah
Individu/Anggota
Rumah Tangga
(ART) umur ≥ 10
tahun yang
Disurvei","Jumlah
Individu/Anggota
Rumah Tangga
(ART) umur ≥ 15
tahun yang
Disurvei",Indikator,,,,,,"Status Individu/Anggota
Rumah Tangga (ART)F",
,,,,,,,,,"Jumlah
Individu/Anggota Rumah Tangga (ART) umur ≥ 5 tahun
yang konsumsi
buah dan/atau
sayur","Jumlah
Individu/Anggota Rumah Tangga (ART) umur ≥ 10
tahun yang
melakukan
aktivitas fisik","Jumlah
Individu/Anggota Rumah Tangga (ART) umur ≥ 10
tahun yang mencuci
tangan dengan
benar","Jumlah
Individu/Anggota Rumah Tangga (ART) umur ≥ 10
tahun yang
tidak
merokok","Jumlah
Individu/Anggota Rumah Tangga (ART) umur ≥ 15
tahun yang
melakukan cek
tekanan darah","Jumlah
Individu/Anggota Rumah Tangga (ART) umur ≥ 15
tahun yang
melakukan cek
gula darah",Sehat Target 2025 (17%),"Tidak
Sehat"
1,,2,3,,,4,5,6,7,8,9,10,11,12,13,14
1,,PACET,1,GIRIMULYA,100,100,100,100,100,100,90,68,89,80,59,41
,,,2,CINANGGELA,100,100,100,100,97,95,89,65,84,80,57,43
,,,3,CIKITU,100,100,100,100,100,90,89,65,90,83,63,37
,PACET,,4,PANGAUBAN,100,100,100,100,100,100,90,75,92,89,63,37
,,,5,MARUYUNG,100,100,100,100,100,94,100,65,95,90,62,38
,,,6,MEKARJAYA,100,100,100,100,100,90,95,64,90,87,61,39
,,,7,MEKARSARI,100,100,100,100,100,95,93,67,93,86,62,38
2,KATAPANG,SANGKANHURIP,8,GANDASARI,100,0,0,100,93,85,100,87,91,74,74,26
,,,9,BANYUSARI,100,0,0,100,99,97,100,99,99,95,95,5
,,,10,SANGKANHURIP,100,0,0,100,96,72,98,77,96,81,72,28
,,,11,SUKAMUKTI,100,0,0,100,97,74,100,99,96,83,74,26
3,,SANTOSA,12,SANTOSA,100,0,0,100,100,99,99,35,92,87,35,65
,KERTASARI,,13,TARUMAJAYA,100,0,0,100,100,99,100,29,100,79,29,71
,,,14,NEGLAWANGI,100,0,0,100,90,89,80,45,86,63,45,55
4,,BIHBUL,15,SUKAMENAK,100,100,84,75,95,77,69,46,54,39,40,60
,MARGAHAYU ,,16,SAYATI,100,100,86,74,90,75,76,49,46,30,27,73
,,,17,MARGAHAYU TENGAH,100,100,92,86,95,86,90,54,65,51,44,56
5,,PASEH,18,CIPAKU,100,100,89,79,90,88,88,69,76,63,63,37
,,,19,LOA,100,100,90,85,90,90,90,40,70,70,40,60
,,,20,SINDANGSARI,100,100,50,10,100,50,50,40,10,10,10,90
,PASEH,,21,SUKAMANTRI,100,100,80,50,100,50,50,30,50,50,30,70
,,,22,SUKAMANAH,100,100,95,80,100,94,78,56,78,58,56,44
,,,23,MEKARPAWITAN,100,100,90,85,100,88,80,76,75,50,50,50
6,PANGALENGAN,SUKAMANAH,24,MARGAMUKTI,100,0,0,100,87,93,73,34,67,67,34,66
,,,25,SUKAMANAH,100,0,0,100,91,90,81,44,55,55,44,56
,,,26,BANJARSARI,100,0,0,100,79,91,77,39,42,42,39,61
,,,27,WANASUKA,100,0,0,100,93,87,79,52,51,51,51,49
7,KUTAWARINGIN,KOPO,28,BUNINAGARA,100,93,84,75,85,95,95,36,71,66,36,64
,,,29,KUTAWARINGIN,100,98,91,85,98,99,84,50,80,72,50,50
,,,30,SUKAMULYA,100,89,81,74,79,81,86,46,49,19,19,81
,,,31,KOPO,100,97,94,85,92,97,97,74,54,49,49,51
,,,32,CILAME,100,93,80,73,80,93,74,50,61,40,40,60
,,,33,PADASUKA,100,93,90,79,91,81,95,65,87,82,65,35
8,PANGALENGAN,PANGALENGAN,34,PANGALENGAN,100,100,100,100,86,87,80,47,56,56,47,53
,,,35,MARGAMULYA,100,100,100,100,88,89,71,49,58,58,49,51
,,,36,TRIBAKTIMULYA,100,100,100,100,90,90,75,51,61,61,51,49
,,,37,LAMAJANG,100,100,100,100,92,87,79,59,68,68,59,41
9,KERTASARI,KERTASARI,38,CIBEURERUM,100,100,100,100,95,68,97,60,64,46,46,54
,,,39,CIKEMBANG,100,100,100,100,97,74,94,46,64,40,40,60
,,,40,SUKAPURA,100,100,100,100,98,98,98,70,83,51,51,49
,,,41,RESMITINGAL,100,100,100,100,98,65,98,68,78,39,39,61
,,,42,CIHAWUK,100,100,100,100,97,75,96,67,83,51,51,49
10,PASEH,CIPEDES,43,CIPEDES,100,100,94,72,57,54,86,84,65,53,53,47
,,,44,CIGENTUR,100,100,94,84,79,47,88,75,65,47,47,53
,,,45,KARANGTUNGGAL,100,100,92,73,48,51,86,76,59,58,48,52
,,,46,DRAWATI,100,100,91,84,67,54,63,78,64,44,44,56
